name surname,position,fg_pct,fg3_pct,fg2_pct,ft_pct,rebounds,asists,points_per_game
Tom Abernethy,PF,0.63,0.0,0.42,0.63,1.57,0.62,2.35
Alvan Adams,C,0.81,0.09,0.5,0.81,6.22,3.86,12.53
Dennis Awtrey,C,0.63,0.0,0.42,0.63,2.7,1.13,2.33
Gus Bailey,SG,0.39,1.0,0.44,0.39,1.4,1.3,1.9
James Bailey,PF,0.7,0.04,0.48,0.7,4.78,0.8,8.56
Greg Ballard,SF,0.82,0.29,0.44,0.82,6.12,2.14,12.71
Mike Bantom,SF,0.65,0.27,0.48,0.65,5.54,2.2,11.3
Marvin Barnes,PF,0.5,0.0,0.4,0.5,3.9,0.9,3.2
Tim Bassett,PF,0.67,0.0,0.35,0.67,2.8,1.27,2.73
Billy Ray Bates,SG,0.64,0.3,0.4,0.64,1.28,1.25,8.65
Ron Behagen,PF,0.83,0.0,0.39,0.83,2.3,1.2,3.8
Kent Benson,C,0.75,0.14,0.54,0.75,5.5,1.77,8.71
Del Beshore,PG,0.67,0.39,0.35,0.67,0.9,2.0,3.6
Henry Bibby,PG,0.74,0.27,0.41,0.74,1.75,3.2,6.8
Otis Birdsong,SG,0.55,0.24,0.5,0.55,2.48,3.09,15.28
Ron Boone,SG,0.86,0.26,0.42,0.86,2.27,3.02,9.7
Lawrence Boston,PF,0.61,0.0,0.46,0.61,3.0,0.2,4.3
Tom Boswell,PF,0.77,0.62,0.55,0.77,4.75,1.73,9.03
Winford Boynes,SG,0.79,0.0,0.43,0.79,1.9,1.15,7.5
Alonzo Bradley,SF,0.67,1.0,0.34,0.67,0.3,0.1,1.9
Dudley Bradley,SG,0.65,0.25,0.41,0.65,1.66,1.75,4.63
Mike Bratz,PG,0.82,0.26,0.41,0.82,1.6,3.11,6.11
Jim Brewer,PF,0.41,0.06,0.5,0.41,3.7,0.8,2.7
Ron Brewer,SG,0.84,0.18,0.45,0.84,1.44,1.44,9.77
Junior Bridgeman,SF,0.85,0.24,0.48,0.85,3.08,2.49,13.03
Allan Bristow,SF,0.8,0.3,0.46,0.8,4.28,4.08,7.52
Fred Brown,SG,0.85,0.37,0.5,0.85,1.58,2.76,11.48
John Brown,SF,0.85,0.0,0.24,0.85,2.23,0.7,2.8
Roger Brown,C,0.0,0.0,0.33,0.0,2.5,0.3,0.5
Joe Bryant,PF,0.76,0.19,0.47,0.76,4.72,2.22,10.68
Quinn Buckner,PG,0.68,0.12,0.46,0.68,2.56,3.76,7.86
Tom Burleson,C,0.53,0.0,0.39,0.53,2.45,0.45,2.95
Don Buse,PG,0.78,0.31,0.45,0.78,1.78,3.55,5.93
Marty Byrnes,SF,0.79,0.23,0.47,0.79,1.9,1.4,4.9
Corky Calhoun,SF,0.0,0.0,0.44,0.0,1.4,0.0,1.1
Mack Calvin,PG,0.81,0.15,0.41,0.81,1.2,2.05,4.45
Austin Carr,SG,0.63,0.08,0.38,0.63,1.45,1.37,5.78
Kenny Carr,PF,0.71,0.05,0.5,0.71,7.53,1.29,11.41
M.L. Carr,SF,0.81,0.23,0.45,0.81,2.12,1.3,5.97
Bob Carrington,SG,0.75,0.0,0.43,0.75,1.3,0.3,3.6
Ron Carter,SG,0.29,0.0,0.41,0.29,1.5,0.7,2.5
Bill Cartwright,C,0.73,0.0,0.5,0.73,6.0,1.47,11.9
Harvey Catchings,C,0.62,0.0,0.44,0.62,4.9,0.9,3.1
Don Chaney,SG,0.76,0.17,0.36,0.76,1.2,0.6,2.8
Phil Chenier,SG,0.79,0.4,0.37,0.79,1.6,1.75,6.58
Jim Chones,C,0.73,0.0,0.48,0.73,6.0,1.6,8.17
Jim Cleamons,PG,0.76,0.26,0.48,0.76,1.7,3.27,5.93
Doug Collins,SG,0.87,0.0,0.48,0.87,2.5,3.15,13.05
Jeff Cook,PF,0.74,0.04,0.46,0.74,4.18,1.09,4.65
Michael Cooper,SG,0.84,0.29,0.49,0.84,3.18,4.2,8.87
Wayne Cooper,PF,0.73,0.11,0.45,0.73,6.13,0.88,7.75
Hollis Copeland,SF,0.78,0.0,0.46,0.78,1.2,0.8,3.9
Dave Corzine,C,0.67,0.1,0.47,0.67,5.63,1.52,8.12
John Coughran,SF,0.57,0.22,0.38,0.57,0.8,0.5,2.8
Charlie Criss,PG,0.83,0.16,0.44,0.83,1.61,3.25,7.2
Terry Crosby,PG,1.0,0.0,0.5,1.0,0.3,1.8,1.5
Pat Cummings,C,0.72,0.0,0.51,0.72,5.27,1.04,9.13
Brad Davis,PG,0.81,0.24,0.53,0.81,1.67,4.47,7.49
Harry Davis,SF,0.5,0.0,0.5,0.5,1.5,0.0,3.3
Johnny Davis,PG,0.84,0.21,0.45,0.84,1.72,4.64,11.5
Walter Davis,SF,0.87,0.27,0.5,0.87,2.43,3.42,16.8
